Brokerage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date,,,Time,,Date
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-5,68.21,,0.01,,341.04,5/17/2022,,,08:10:32,,5/22/2022
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-5,67.88,,0.01,,339.39,5/17/2022,,,08:06:48,,5/22/2022
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-5,67.53,,0.01,,337.64,5/17/2022,,,08:06:12,,5/22/2022
 05/13/2022, YOU BOUGHT COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,5,67.91,,,,-339.55,5/17/2022,,,08:02:41,,5/22/2022
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-20,68.6,,0.04,,1371.96,5/17/2022,,,08:02:26,,5/22/2022
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-10,68.5,,0.02,,684.98,5/17/2022,,,07:58:14,,5/22/2022
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-10,68.1,,0.02,,680.98,5/17/2022,,,07:57:55,,5/22/2022
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-12,67.68,,0.02,,812.14,5/17/2022,,,07:57:02,,5/22/2022
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-38,67.64,,0.06,,2570.26,5/17/2022,,,07:53:44,,5/22/2022
 05/13/2022, YOU BOUGHT COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,110,67.6,,,,-7436,5/17/2022,,,07:49:48,,5/22/2022
 05/13/2022, REDEMPTION FROM CORE ACCOUNT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) MORNING TRADE (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,-8306.83,1,,,,8306.83,,,,07:49:39,,5/22/2022
,,,,,,,,,,,,,,07:49:14,,5/22/2022
,,,,,,,,,,,,,,07:48:08,,5/22/2022
,,,,,,,,,,,,,,07:46:54,,5/22/2022
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for,,,,,,,,,,,,,,,,
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a",,,,,,,,,,,,,,,,
recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was,,,,,,,,,,,,,,,,
exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting,,,,,,,,,,,,,,,,
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National",,,,,,,,,,,,,,,,
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by",,,,,,,,,,,,,,,,
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date downloaded 05/13/2022, 8:39 PM,,,,,,,,,,,,,,,
